,Unnamed: 0,corner_0_distance,corner_sum_distance,a_reached_goal_at_end,a_smallest_reached_goal,background_texture_randomization,blur_randomization,camera_randomization,cloth_size,cloth_texture_randomization,cone_type,domain_randomization,dynamics_randomization,finger_collisions,friction,geom_size,geom_solimp_high,geom_solimp_low,geom_solimp_width,geom_solref_dampratio,geom_solref_timeconst,got_done,impratio,joint_solimp_high,joint_solimp_low,joint_solimp_width,joint_solref_dampratio,joint_solref_timeconst,lights_randomization,lookat_randomization,noise_randomization,num_cloth_geoms,robot_appearance_randomization,tendon_main_solimp_high,tendon_main_solimp_low,tendon_main_solimp_width,tendon_main_solref_dampratio,tendon_main_solref_timeconst,tendon_shear_solimp_high,tendon_shear_solimp_low,tendon_shear_solimp_width,tendon_shear_solref_dampratio,tendon_shear_solref_timeconst
0,15441,0.0185614729627188,0.036665721300761414,0.275489336098416,0.033606659651135,0,0,0,0.2,0,elliptic,1,0,0,4.73623910003337,0.002584718810242,0.991159417852152,0.999749088690935,0.024573228871546,1.00835046094771,0.034201035276599,1,30.8012284463746,0.993758171544047,0.993231501680135,0.020596095166556,0.99783924589181,0.034184656233422,0,0,0,9,0,0.99262642566016,0.995167367743467,0.023675443310417,0.998786096185222,0.044988836369023,0.990465641447328,0.999555892819443,0.021905791654856,0.994347659205882,0.022128788495873
1,3416,0.0185614729627188,0.036665721300761414,0.275463639167354,0.030730748464515,0,0,0,0.2,0,elliptic,1,0,0,7.02806584864361,0.002433094984367,0.99787620053106,0.998244039842742,0.02384553257239,0.99534376950255,0.048779550393879,1,15.1864489667475,0.995621117633634,0.991952875435118,0.015481616874788,1.01382663182972,0.024752276923318,0,0,0,9,0,0.998881222300598,0.995612686770244,0.013581370597017,1.01063468915862,0.04580898922027,0.998686178020713,0.991071601056876,0.012277959571314,0.995213970647702,0.022506896973904
2,16207,0.0185614729627188,0.036665721300761414,0.268243583486053,0.044358554893968,0,0,0,0.2,0,elliptic,1,0,0,8.93044664352047,0.003209076524532,0.992414862980766,0.991809888386739,0.026567377361616,0.990657388821361,0.044779276943506,1,8.75659858411187,0.997131962475626,0.992100243627122,0.025548111931023,0.997211381679586,0.025280135819224,0,0,0,9,0,0.995623560591699,0.996078277927025,0.011236828505002,0.991147178279456,0.045898642670913,0.991889737079975,0.994774776178156,0.018730544252561,1.01445115619956,0.022495897958712
3,16265,0.0185614729627188,0.036665721300761414,0.266115531682066,0.032591084955257,0,0,0,0.2,0,pyramidal,1,0,0,5.64523724231599,0.005091872074794,0.994434450537681,0.998219607974652,0.014972115324398,0.993339745993567,0.031213853736174,1,30.460610954151,0.99164776995829,0.9955246928323,0.011973686586705,1.00699348969304,0.034973605328788,0,0,0,9,0,0.997287683882882,0.994342121496251,0.02256787034863,0.99689731291724,0.040222232410641,0.99934072921783,0.99867751485463,0.014119255550788,0.985101236788116,0.013632664331725
5,24880,0.0185614729627188,0.036665721300761414,0.256639266738537,0.030177707724761,0,0,0,0.2,0,pyramidal,1,0,0,1.47174123331729,0.006918993784082,0.990308787195106,0.999884721059451,0.029209843563439,0.995295630530575,0.029967265294543,1,36.8059140510604,0.996334622687438,0.993200004463604,0.028274156412074,1.01294642088965,0.047665182317368,0,0,0,9,0,0.992391886802756,0.997373952137468,0.017209488457339,1.00993709024473,0.044753663870622,0.997291575308934,0.99743791503784,0.012451219770241,1.01042427862085,0.038322295248141
6,20292,0.0185614729627188,0.036665721300761414,0.253131387358703,0.035083896541426,0,0,0,0.2,0,pyramidal,1,0,0,0.247181943006978,0.00955462370177,0.998323017529828,0.992058147045145,0.021607225350132,0.98293022596862,0.031991127108144,1,37.7162267111387,0.994596603970448,0.990597325745221,0.015855507525109,0.998119178766102,0.019037503419566,0,0,0,9,0,0.998296034083601,0.994370155423052,0.016850305088462,1.00313526123551,0.049582539233744,0.996621355581643,0.992580515076351,0.01566546635577,1.00591307887503,0.028012137101999
7,6471,0.0185614729627188,0.036665721300761414,0.253089496659098,0.033191681910613,0,0,0,0.2,0,pyramidal,1,0,0,0.52515482898646,0.008790712874877,0.996203032835339,0.994743562909206,0.021096657083127,0.988186738778043,0.017107698441513,1,39.0295285018879,0.999836268257434,0.990678686924058,0.026626201485351,1.01202616603279,0.021267255449266,0,0,0,9,0,0.991919292909731,0.996632894386381,0.020359360460977,0.98925812908348,0.027632962589987,0.998905788378928,0.992032003367685,0.018679303354467,1.00539370820423,0.019627815082845
8,22172,0.0185614729627188,0.036665721300761414,0.251310437056142,0.024524098559457,0,0,0,0.2,0,elliptic,1,0,0,0.189584691230241,0.010423488309086,0.990102419616557,0.99106965719864,0.028067610875624,1.01413731898648,0.034526135975503,1,29.042655742444,0.998435819607652,0.996061126764194,0.023734698824789,0.993585794963602,0.026857310768437,0,0,0,9,0,0.997167573434861,0.991750784064101,0.013826843838084,0.995571721994558,0.011185637969002,0.991558052244066,0.991644158849704,0.015947756659037,1.00709253343419,0.039536530034886
10,11735,0.0185614729627188,0.036665721300761414,0.247751198108427,0.030357400385048,0,0,0,0.2,0,pyramidal,1,0,0,0.128101390393511,0.009857449890221,0.99335706807794,0.996774284917679,0.018768823420094,1.01256272781617,0.011344146590599,1,18.1821958904606,0.995632123381294,0.998192731545715,0.012010989953278,0.992969072209818,0.02257652461063,0,0,0,9,0,0.991194439953547,0.990871315751222,0.020075654332773,0.984468653992071,0.045339683893635,0.99422201406955,0.997621400400505,0.025580042608307,0.99904400700239,0.045540625021039
11,14804,0.0185614729627188,0.036665721300761414,0.246202697324657,0.02210712357737,0,0,0,0.2,0,elliptic,1,0,0,0.027297974470686,0.009574547789964,0.999169876860161,0.995427403446239,0.010733143979273,1.00483089717204,0.019850843853552,1,24.8073799366162,0.994375680279779,0.99983083869504,0.022474989898212,0.988640262278228,0.028468130305179,0,0,0,9,0,0.99592406095559,0.994135776436718,0.013845471707461,0.989070732106651,0.035372551083298,0.993139797028334,0.993282067289533,0.016651319861178,1.01390112249584,0.046483875023218
