,a_reached_goal_at_end,a_smallest_reached_goal,background_texture_randomization,blur_randomization,camera_randomization,cloth_size,cloth_texture_randomization,cone_type,domain_randomization,dynamics_randomization,finger_collisions,friction,geom_size,geom_solimp_high,geom_solimp_low,geom_solimp_width,geom_solref_dampratio,geom_solref_timeconst,got_done,impratio,joint_solimp_high,joint_solimp_low,joint_solimp_width,joint_solref_dampratio,joint_solref_timeconst,lights_randomization,lookat_randomization,noise_randomization,num_cloth_geoms,robot_appearance_randomization,tendon_main_solimp_high,tendon_main_solimp_low,tendon_main_solimp_width,tendon_main_solref_dampratio,tendon_main_solref_timeconst,tendon_shear_solimp_high,tendon_shear_solimp_low,tendon_shear_solimp_width,tendon_shear_solref_dampratio,tendon_shear_solref_timeconst
8624,0.257337586481052,0.038092023090561,0,0,0,0.2,0,elliptic,1,0,0,0.165288246734353,0.008228946834224,0.996505314218567,0.997678215698191,0.016817398602349,1.01196411434211,0.025859950908162,1,29.6974829832795,0.999011741042542,0.994079557014712,0.011903218768513,1.00605396762457,0.028484528832725,0,0,0,11,0,0.995072718935001,0.993872354748608,0.021324764900554,0.991720526693788,0.045637709357963,0.999743311713801,0.997783972509231,0.019790514847254,1.0125459318125,0.04436438749405
12371,0.256602355478091,0.041338541051226,0,0,0,0.2,0,elliptic,1,0,0,0.285945534343973,0.008105277231741,0.999186599753154,0.992343511243349,0.022554990992679,1.00852373013968,0.032906149841043,1,11.3153424261211,0.992241334657284,0.995096133328353,0.023708887687625,0.998843218615297,0.049162313172516,0,0,0,11,0,0.998514754434321,0.998245509882146,0.025693652250273,0.993452093355702,0.047318067031726,0.992120414743374,0.992387592748443,0.017245989426665,1.00989467333032,0.017882349522621
22007,0.254658241422138,0.038735202446285,0,0,0,0.2,0,elliptic,1,0,0,0.569978338059638,0.008196944236294,0.997209553232869,0.999861435067117,0.019300797430348,0.990544791707938,0.039126646726662,1,5.97964689313454,0.998295117133709,0.990488736781439,0.028937713343154,1.00627554454114,0.04739920654219,0,0,0,11,0,0.996587671318523,0.995279268653417,0.021581121952139,0.984118985807599,0.031336585042106,0.994545190406211,0.99771414820129,0.013403730188884,0.981352958115053,0.014196463086391
29810,0.254604640223084,0.04315793961697,0,0,0,0.2,0,elliptic,1,0,0,0.503356476014074,0.006175577023507,0.993723450714456,0.999185381372388,0.028854751352749,0.982117912390283,0.023126982315951,1,36.0822382747756,0.993181342569037,0.995643068001732,0.012318232722613,1.00446420952512,0.015412740376146,0,0,0,11,0,0.999776834412474,0.998158331088732,0.018660230405515,1.01246585014515,0.031846436828879,0.995253404989298,0.990397363461166,0.020789639689323,1.00631592709543,0.017100045557892
22533,0.253936116486318,0.036066596901379,0,0,0,0.2,0,pyramidal,1,0,0,0.198118343567411,0.006645090347304,0.995698166273089,0.998251276132562,0.028122625162504,1.00369149618578,0.024239989071796,1,31.5622546169757,0.990901232530991,0.991368192770149,0.018511182924902,0.993149645285805,0.027361444898592,0,0,0,11,0,0.993641573602158,0.993639058372365,0.028408781233303,0.998499072807816,0.025939461389943,0.996994540530666,0.990875806122501,0.029147702737152,0.9833532644825,0.011838834148971
15223,0.251678788785346,0.034636696849726,0,0,0,0.2,0,elliptic,1,0,0,0.033343553749261,0.008011886284117,0.99676361768134,0.996905616242058,0.02750508571701,0.998447388366374,0.040496030894001,1,2.76961524213391,0.993920667510807,0.993382470700439,0.025422194012689,0.996088179952575,0.04472341723192,0,0,0,11,0,0.990012826033033,0.997456699020969,0.012079285200327,1.00066865376566,0.032742863641174,0.994462913609606,0.99179692642087,0.018363633720274,0.985043269447908,0.042445557502101
31055,0.25030785049474,0.043214020979966,0,0,0,0.2,0,pyramidal,1,0,0,0.42959291584292,0.008283321273876,0.995026111927131,0.992374079714194,0.01189982579019,0.997192904341796,0.036187096298943,1,3.76700531344652,0.993192817306328,0.990485812177649,0.026286738122412,1.00904012748996,0.030975174116265,0,0,0,11,0,0.997170837233366,0.996805843516569,0.010390264007492,0.988933724828966,0.031753915722804,0.998546062431189,0.992902638573233,0.023209474835955,1.00727693522771,0.036921433367316
9029,0.093703178088106,0.042855623555019,0,0,0,0.2,0,pyramidal,1,0,0,0.081391766989171,0.007969479623771,0.998155810265203,0.996140987317953,0.010915375791507,0.98674440611767,0.043556992189767,0,34.7749672155909,0.996895453464691,0.997578837647131,0.018239062107006,1.01227028630736,0.014364827922314,0,0,0,11,0,0.993653033499914,0.992190895293241,0.013933214953971,1.00311880291924,0.018408063136759,0.998164000944991,0.993704429828622,0.017654722563585,0.990152921500002,0.019320890690543
24374,0.074373001161662,0.044989549123921,0,0,0,0.2,0,pyramidal,1,0,0,0.19291969693845,0.008798266158894,0.998710815997677,0.991171596319246,0.025986925963612,1.00827431736118,0.048738881765387,0,26.520289262491,0.990241973815029,0.995716438748067,0.025059763229133,1.01399222268617,0.032876230939818,0,0,0,11,0,0.996496773511334,0.999237415093668,0.018506527129707,0.989002820826911,0.046049035708726,0.999463177556948,0.999713891676951,0.025666167534574,0.993774692054454,0.029731227484776
27704,0.0580469303648,0.048947678764996,0,0,0,0.2,0,pyramidal,1,0,0,0.308226263049694,0.00860031783888,0.995918334836778,0.995800042145747,0.028460732591124,0.987661860847347,0.039751074736054,0,27.9266655491335,0.993402235169836,0.990651216520004,0.021578866561982,1.00700904661537,0.036496645460679,0,0,0,11,0,0.99135845120874,0.9922874010451,0.017917602300606,1.00274550088447,0.011464179654166,0.998417562303342,0.997249049016203,0.010231232191196,1.01449346455504,0.029753390511399
24686,0.056356005548046,0.047986039251961,0,0,0,0.2,0,pyramidal,1,0,0,0.098942989445965,0.008238902718827,0.992847530423545,0.995237490823237,0.010350751654869,1.00177995518612,0.040932805886369,0,21.6561022711368,0.993394424296503,0.993595983494727,0.019376427400636,0.995052042507606,0.015022539151929,0,0,0,11,0,0.992884670243745,0.990175544777486,0.015751296171507,0.999576107405358,0.034049768792716,0.994038590641704,0.99925327784524,0.028021041988787,1.00767839633768,0.037477819550035
10644,0.054343440535778,0.039452955257751,0,0,0,0.2,0,pyramidal,1,0,0,0.10833662471354,0.009061233554528,0.998024204430418,0.992862938887096,0.023015813191842,0.99208718047049,0.049395130210205,0,34.1953623436946,0.995711789020237,0.991837038820865,0.019520292126859,1.00408947233813,0.045705091541532,0,0,0,11,0,0.998766504623003,0.994286061650131,0.027988894420667,1.01139230058422,0.013495099063227,0.999105719970886,0.995084077904085,0.020320677309322,0.989716772246647,0.04904438951487
13223,0.053313841738649,0.047774604433278,0,0,0,0.2,0,pyramidal,1,0,0,1.70844515878856,0.00367706982201,0.995208840789888,0.991621129759782,0.022973641591281,0.987276434864685,0.030936091061897,0,24.9039460131076,0.993798264903142,0.996195049900619,0.018503069184361,0.991244077288017,0.010621991212821,0,0,0,11,0,0.997370916900057,0.998156420476077,0.015046528174259,1.00467849666037,0.046084708298837,0.990615060653119,0.999633568891783,0.028455536421523,1.00656737520715,0.026030435779149
2941,0.050758965410841,0.044198747141381,0,0,0,0.2,0,pyramidal,1,0,0,0.262077122867064,0.003342009143908,0.998148954033776,0.991375725726874,0.021581912761025,0.996715851166775,0.041602541248631,0,39.1085424307171,0.993977433154445,0.990739554145844,0.025842319285646,1.01164802554552,0.03302524925728,0,0,0,11,0,0.990589669125569,0.999511841026504,0.022330587958562,0.989007554778648,0.014616423751181,0.996018894105909,0.997134768316118,0.01061444988968,0.996356295464074,0.012482225807354
16252,0.048275828983332,0.042428615312061,0,0,0,0.2,0,pyramidal,1,0,0,0.091793637568059,0.007161324160814,0.992071094103614,0.993543693989355,0.017463537383994,1.00220007293957,0.028203842534284,0,33.0927276580123,0.992024102893993,0.996974864736372,0.023104728520331,1.00558849064034,0.014240661046437,0,0,0,11,0,0.994348701908721,0.992854035706783,0.017709377094507,1.00920381602649,0.022862587663351,0.995967772725136,0.99518020389288,0.024857995629815,0.985177325499623,0.02612533053725
16465,0.04682525502203,0.0458638784109,0,0,0,0.2,0,pyramidal,1,0,0,0.50986513128622,0.007635326147487,0.995241420645491,0.992644650478703,0.02594893711811,0.998220413852268,0.033569447232391,0,39.4641444010333,0.997989694748448,0.994050316507414,0.020323993780921,1.00423168027586,0.028295786937962,0,0,0,11,0,0.993340032101225,0.997172966475546,0.0179803426587,0.984782396054012,0.03639601732205,0.990881369366663,0.996542487203024,0.018108064996397,0.994276738152508,0.036875166205366
30928,0.264082787416909,0.030744281016535,0,0,0,0.2,0,pyramidal,1,0,0,2.46507458037552,0.005235611056661,0.997196771147995,0.991194012278734,0.023881511788959,0.997703985482151,0.022165999747449,1,21.5083540634554,0.995582805306259,0.994747669974441,0.0191386947366,0.996048400899145,0.016347902051997,0,0,0,9,0,0.996414577699924,0.999221084237101,0.015559438094507,0.980852595728006,0.027520838607985,0.99779779618265,0.997622167536522,0.014309324456676,1.01107938775025,0.027681501981356
21739,0.23982991032755,0.044346693915017,0,0,0,0.2,0,elliptic,1,0,0,0.615886998524778,0.010697953407899,0.990830646158792,0.999096741205515,0.011014191367633,1.00367489337067,0.022104367715318,1,20.5309147534928,0.993549246212142,0.990728566104352,0.010014929163733,0.99916556711999,0.013811515186654,0,0,0,9,0,0.993150517674278,0.994807799248824,0.014283873564607,0.986069655224207,0.023181529886149,0.995675174776729,0.994921883779948,0.018260609000917,1.00397848685851,0.031668851989315
