,kp,damping_ratio,ramp_ratio,output_max,action_file,score,ate,success
0,100.0,0.5,0.1,0.02,0,0.21771778196246014,0.01956434798718288,0.0
1,100.0,0.5,0.2,0.02,0,0.21955150044289415,0.019679101759690475,0.0
2,100.0,0.5,0.5,0.02,0,0.23057822643828568,0.020442731962899658,0.0
3,100.0,0.5,0.7,0.02,0,0.23835171342342282,0.02096431846718222,0.0
4,100.0,0.5,1.0,0.02,0,0.2509375170882004,0.021799469957659013,0.0
5,100.0,0.6666666666666666,0.1,0.02,0,0.225616918763072,0.020018244713976317,0.0
6,100.0,0.6666666666666666,0.2,0.02,0,0.22788789601153936,0.020160407358558254,0.0
7,100.0,0.6666666666666666,0.5,0.02,0,0.23723863554343233,0.02081191537529455,0.0
8,100.0,0.6666666666666666,0.7,0.02,0,0.2446337876979865,0.021327412567323217,0.0
9,100.0,0.6666666666666666,1.0,0.02,0,0.2560388837173412,0.022061650382362016,0.0
10,100.0,0.8333333333333333,0.1,0.02,0,0.23219141676631644,0.02041597009714591,0.0
11,100.0,0.8333333333333333,0.2,0.02,0,0.23434215700398456,0.02055369496562135,0.0
12,100.0,0.8333333333333333,0.5,0.02,0,0.24294231163151644,0.021155589322380264,0.0
13,100.0,0.8333333333333333,0.7,0.02,0,0.249540600629391,0.021628576756683424,0.0
14,100.0,0.8333333333333333,1.0,0.02,0,0.25970201958913436,0.022303525106168464,0.0
15,100.0,1.0,0.1,0.02,0,0.23673324655515599,0.020677797739754547,0.0
16,100.0,1.0,0.2,0.02,0,0.23969333526902625,0.020894947810067892,0.0
17,100.0,1.0,0.5,0.02,0,0.24754676587337415,0.021445093737548743,0.0
18,100.0,1.0,0.7,0.02,0,0.2537027275129912,0.021887272265043053,0.0
19,100.0,1.0,1.0,0.02,0,0.2627387208672712,0.02250747785821377,0.0
20,100.0,1.1666666666666665,0.1,0.02,0,0.24129660507213854,0.020975421975058618,0.0
21,100.0,1.1666666666666665,0.2,0.02,0,0.24353164401985605,0.021123866153243496,0.0
22,100.0,1.1666666666666665,0.5,0.02,0,0.2514284156084216,0.02169465925871796,0.0
23,100.0,1.1666666666666665,0.7,0.02,0,0.2572737886190005,0.02211134640577945,0.0
24,100.0,1.1666666666666665,1.0,0.02,0,0.26537580649542797,0.022682933217550733,0.0
25,100.0,1.3333333333333333,0.1,0.02,0,0.24532156146037115,0.0212435603151031,0.0
26,100.0,1.3333333333333333,0.2,0.02,0,0.24738129471280815,0.021378144395069076,0.0
27,100.0,1.3333333333333333,0.5,0.02,0,0.2549660170430354,0.02192304881003637,0.0
28,100.0,1.3333333333333333,0.7,0.02,0,0.25996919508573707,0.02227183116401804,0.0
29,100.0,1.3333333333333333,1.0,0.02,0,0.2675778889525465,0.022830537373151015,0.0
30,100.0,1.5,0.1,0.02,0,0.24844369466876937,0.021440983713988254,0.0
31,100.0,1.5,0.2,0.02,0,0.25081418770154407,0.021610858498875507,0.0
32,100.0,1.5,0.5,0.02,0,0.25770974987265644,0.022104155352578213,0.0
33,100.0,1.5,0.7,0.02,0,0.2623308203143054,0.02243258710415867,0.0
34,100.0,1.5,1.0,0.02,0,0.2694381738532913,0.022958114341474854,0.0
35,100.0,1.6666666666666665,0.1,0.02,0,0.2516461510360384,0.021658387511933556,0.0
36,100.0,1.6666666666666665,0.2,0.02,0,0.25352280636694446,0.02178096125846674,0.0
37,100.0,1.6666666666666665,0.5,0.02,0,0.2599803860630893,0.022242279835351923,0.0
38,100.0,1.6666666666666665,0.7,0.02,0,0.26439272421967464,0.022574659837446588,0.0
39,100.0,1.6666666666666665,1.0,0.02,0,0.2710326339496478,0.02306786936059017,0.0
40,100.0,1.8333333333333333,0.1,0.02,0,0.25388956571878724,0.021792527856540136,0.0
41,100.0,1.8333333333333333,0.2,0.02,0,0.256054350686198,0.021954639852893455,0.0
42,100.0,1.8333333333333333,0.5,0.02,0,0.26205385392530217,0.022386016912745582,0.0
43,100.0,1.8333333333333333,0.7,0.02,0,0.2662072757076355,0.02270138578091441,0.0
44,100.0,1.8333333333333333,1.0,0.02,0,0.272421513040742,0.023164242840268433,0.0
45,100.0,2.0,0.1,0.02,0,0.25585194364077524,0.021902521174911004,0.0
46,100.0,2.0,0.2,0.02,0,0.2579546306649871,0.022064588482223597,0.0
47,100.0,2.0,0.5,0.02,0,0.2638713529336205,0.022514820003495112,0.0
48,100.0,2.0,0.7,0.02,0,0.2677911269305679,0.022812052885392686,0.0
49,100.0,2.0,1.0,0.02,0,0.2736484715233343,0.023249313532892817,0.0
50,311.1111111111111,0.5,0.1,0.02,0,0.15550742073212714,0.014655724078865404,0.0
51,311.1111111111111,0.5,0.2,0.02,0,0.15822215372751938,0.0148995503031054,0.0
52,311.1111111111111,0.5,0.5,0.02,0,0.17658256537773415,0.01617364880647022,0.0
53,311.1111111111111,0.5,0.7,0.02,0,0.19376595203949618,0.017408967891212605,0.0
54,311.1111111111111,0.5,1.0,0.02,0,0.21617543505665046,0.018935649908035018,0.0
55,311.1111111111111,0.6666666666666666,0.1,0.02,0,0.16224748109569315,0.015274450911588383,0.0
56,311.1111111111111,0.6666666666666666,0.2,0.02,0,0.1661041262620236,0.015540368038404837,0.0
57,311.1111111111111,0.6666666666666666,0.5,0.02,0,0.18623181930303262,0.016920043322454757,0.0
58,311.1111111111111,0.6666666666666666,0.7,0.02,0,0.19842477679560452,0.017779072234017933,0.0
59,311.1111111111111,0.6666666666666666,1.0,0.02,0,0.22390808210967747,0.019616549149773337,0.0
60,311.1111111111111,0.8333333333333333,0.1,0.02,0,0.1734388582548817,0.016026402325059846,0.0
61,311.1111111111111,0.8333333333333333,0.2,0.02,0,0.17566007510526627,0.016179239144608608,0.0
62,311.1111111111111,0.8333333333333333,0.5,0.02,0,0.1957770470212337,0.017625573694151127,0.0
63,311.1111111111111,0.8333333333333333,0.7,0.02,0,0.20930411599931403,0.018590889358240385,0.0
64,311.1111111111111,0.8333333333333333,1.0,0.02,0,0.22918491452978212,0.02002089306392492,0.0
65,311.1111111111111,1.0,0.1,0.02,0,0.18342257952511395,0.016659934688285985,0.0
